time,[HUME],[TEMP],[PRES],[RADI],[RAPV],[DIRV],tiempo,numeros
2021-04-05T08:00:00-05:00,75.18,14.33,736.59,212.19,1.02,30.59,8:00:00 AM,0
2021-04-05T08:01:00-05:00,74.9,14.33,737.03,213.22,1,27.5,8:01:00 AM,1
2021-04-05T08:02:00-05:00,74.68,14.29,736.32,214.25,0.7,70.72,8:02:00 AM,2
2021-04-05T08:03:00-05:00,75.12,14.29,736.89,217.34,0.64,64.95,8:03:00 AM,3
2021-04-05T08:04:00-05:00,75.08,14.3,736.36,222.04,0.69,123.35,8:04:00 AM,4
2021-04-05T08:05:00-05:00,75.07,14.3,737.4,231.01,0.62,74.38,8:05:00 AM,5
2021-04-05T08:06:00-05:00,75.91,14.37,736.46,234.69,0.43,327.63,8:06:00 AM,6
2021-04-05T08:07:00-05:00,75.83,14.43,737.13,239.39,0.71,228.92,8:07:00 AM,7
2021-04-05T08:08:00-05:00,74.81,14.47,737.13,236.6,0.74,188.43,8:08:00 AM,8
2021-04-05T08:09:00-05:00,75.58,14.5,737.23,234.54,0.67,197.11,8:09:00 AM,9
2021-04-05T08:10:00-05:00,76.38,14.56,736.46,235.13,0.47,233.31,8:10:00 AM,10
2021-04-05T08:11:00-05:00,75.67,14.63,736.69,235.71,0.36,32.52,8:11:00 AM,11
2021-04-05T08:12:00-05:00,75.01,14.64,737.13,229.54,0.53,314.97,8:12:00 AM,12
2021-04-05T08:13:00-05:00,73.26,14.72,736.52,209.54,0.58,20.25,8:13:00 AM,13
2021-04-05T08:14:00-05:00,73.48,14.72,736.49,186.31,0.74,180.51,8:14:00 AM,14
2021-04-05T08:15:00-05:00,73.4,14.74,736.32,192.2,0.63,156.28,8:15:00 AM,15
2021-04-05T08:16:00-05:00,74.5,14.79,736.36,206.75,0.5,259.19,8:16:00 AM,16
2021-04-05T08:17:00-05:00,75.25,14.84,736.46,214.1,0.45,350.64,8:17:00 AM,17
2021-04-05T08:18:00-05:00,75.86,14.94,737.36,221.75,0.28,91.46,8:18:00 AM,18
2021-04-05T08:19:00-05:00,73.67,15.02,736.59,225.13,0.22,82.42,8:19:00 AM,19
2021-04-05T08:20:00-05:00,75.18,15.09,736.59,234.24,0.29,333.67,8:20:00 AM,20
2021-04-05T08:21:00-05:00,73.26,15.16,737.23,244.1,0.36,67.76,8:21:00 AM,21
2021-04-05T08:22:00-05:00,73.69,15.24,736.59,250.27,0.23,242.91,8:22:00 AM,22
2021-04-05T08:23:00-05:00,74.38,15.3,736.63,258.21,0.29,220.92,8:23:00 AM,23
2021-04-05T08:24:00-05:00,75.02,15.38,736.56,276.59,0.56,179.19,8:24:00 AM,24
2021-04-05T08:25:00-05:00,75.24,15.43,737.5,295.85,0.15,126.02,8:25:00 AM,25
2021-04-05T08:26:00-05:00,73.27,15.49,736.69,307.02,0.4,288.71,8:26:00 AM,26
2021-04-05T08:27:00-05:00,73.65,15.56,736.52,300.85,0.68,285.1,8:27:00 AM,27
2021-04-05T08:28:00-05:00,72.24,15.57,736.39,302.46,0.77,277.75,8:28:00 AM,28
2021-04-05T08:29:00-05:00,70.66,15.56,736.49,298.2,0.55,242.29,8:29:00 AM,29
